,isbn,user_link,ranking,review
0,014313342X,http://goodreads.com/user/show/16471876-liz-barnsley,5,I'm not really going to review this properly I bought it and read it just for me really. There's nothing much I can say that I haven't said before about this author's writing and sometimes you just want to read a book to kick start your soul again. Suffice to say that as ever after reading a Matt Haig book my faith in many many things is restored. Yes indeed.
1,014313342X,http://goodreads.com/user/show/35251024-nat-k,5,"”The paradox of modern life is this: we have never been more connected, and we have never been more alone.” Another gem from one of my favourite writers, which makes me realise why I love reading his books so much. Matt Haig has the innate ability to get inside your core and peel back the layers.He makes you feel. He makes you think.Whenever I start one of his books, the rest of the world falls to a blur, in slow motion. I become so engrossed in what he has to say, it’s as if time stands still. He writes of truth and hurt and feelings, and the discord so many of us feel in our oh-so-busy modern lives.Inadvertently, he has become somewhat of a modern day sage with his wise words and observations. By being so upfront with his own struggles with anxiety and depression (via his previous book ""Reasons to Stay Alive""), this book continues on the theme of the pressures we place on ourselves in the modern world, and if it is indeed worth it. We are bombarded with information overload from the time we wake up to the moment our head hit the pillow. No wonder our inner circuitry often snaps.There's a beautiful snippet ""A note from the beach"" which is funny and cheeky at the same time. Effectively the beach has written an ode to us humans, about how we shouldn't obsess about who's ""watching us"" on the beach, about how we look, as no-one's really interested. They're all too worried about how they look.""Reframe your idea of beauty. Be a rebel against marketing. Look forward to being a wise elder. Be the complex elegance of a melting candle. Be a map with 10,000 roads. Be the orange at sunset that outclasses the pink of sunrise. Be the self that dares to be true.""Penelope beautifully summed up this book by saying “…his writing is like a cup of tea and a warm blanket making you feel that no matter how crazy the world can get everything is going to be ok.” I couldn’t agree more. And I really can’t say more. Just read it.https://www.goodreads.com/review/show...Matt, you have such a positive influence on so many people. I truly hope you read your reviews, because you’ll see how much you mean to people, and just how many lives you’ve touched 💕🌿 💚 🌿 💚 Just be. 🌿 💚 🌿 💚"
2,014313342X,http://goodreads.com/user/show/23650849-alexa-petre,2,"As much as I respect and appreciate Matt Haig, I cannot give more than 2 stars to this book. First of all, it's very messy, and although he even mentions in the book that he deliberately wanted to write a messy book, it actually feels like a bunch of blog posts cluttered together in a book, without much structure and flow to it, especially since he repeats himself numerous times throughout it. I just couldn't help thinking I was reading a bunch of shallow self-help articles, full of truisms and of dramatic short sentences, that didn't go into enough detail in order to be interesting or helpful. Plus the exaggerated amount of enumerations became irritating after a while. I appreciate the intention of writing a book to help people navigate through modern times easier, but putting together a lot of statistics, quotes and general findings from different other authors (without mentioning the exact sources in the footnotes, another big flaw) just makes the book feel like a pseudo-scientific bunch of random facts. I'm really sorry Matt, this was not your best, I think."
3,014313342X,http://goodreads.com/user/show/26560207-gabby,4,"”How can we live in a mad world without ourselves going mad?Matt Haig has such a way with worlds and he is so good at being able to explain the reasons people might feel anxiety and depression in the world we are living in today. This read couldn’t come at a more perfect time for me because the world is unimaginably horrific these days and I really needed this. I enjoyed this one even more than Reasons to Stay Alive, and I just really love his writing so much. ”The future isn’t real. The future is abstract. The now is all we know. One now after another now. The now is where we must live. There are billions of different versions of an older you. There is one version of the present you. Focus on that.” I love the section about time in this book because a huge part of my anxiety is never feeling like I have enough time to do all the things I want to do, and never feeling present in the moment because I’m always planning things for the future and thinking about the future. This quote really speaks to me:“To enjoy life, we might have to stop thinking about what we will never be able to read and watch and say and do, and start to think of how to enjoy the world within our boundaries. To live on a human scale. To focus on the few things we can do, rather than the millions of things we can’t. To not crave parallel lives. To find a smaller mathematics. To be a proud and singular one. An indivisible prime.”I just love Matt Haig’s writing, and he makes me feel so understood and normal with my anxiety about life and the future and the world. I really needed this book right now and I’m so glad it was everything I was hoping it would be. "
4,014313342X,http://goodreads.com/user/show/2240526-penelope,5,"A truly timely and important book that everyone living on this nervous planet should read. Matt's honest and personal experiences shine through on every page and his writing is like a cup of tea and a warm blanket making you feel that no matter how crazy the world can get everything is going to be ok. I loved this book and have no hesitation recommending it to absolutely everyone, no one will finish this book without learning at least one important lesson or taking away one piece of advice that will make life just that little bit better. Thanks Matt!"
5,014313342X,http://goodreads.com/user/show/20658145-april-aprilius-maximus,4,This book gave me so much to contemplate! 
6,014313342X,http://goodreads.com/user/show/68893494-tom-mclean,1,"I feel like I could write a Twitter bot that would generate this entire book. If you're the type of person who needs someone to tell you ""It will be okay"" a thousand different ways, then this is the book for you. I, like Matt Haig, also suffer from anxiety. But being told ""it will be okay"" only adds to my anxiety. I was hoping for a tool or an escape, but did not find it here. I'm glad Mr. Haig has found a profitable way to deal with his anxiety, by selling out his mantras. "
7,014313342X,http://goodreads.com/user/show/14457130-whitney-atkinson,4,"Thanks to Penguin for a free review copy! I read Reasons to Stay Alive by Matt Haig during my 2017 relapse, and I devoured it. I absolutely love Haig’s writing style and the way he weaves anecdote into advice, and how closely our experiences relate. I especially like how in this book, he talks about how social media and technology can exacerbate anxiety, which is certainly true for me as well.I was initially fearful that this book would be a preachy “just get off your phone” type of book, which isn’t what I was anticipating nor did I want to hear—because let’s be real, social media is fun and useful and literally one of my jobs. I quickly realized that despite his message of logging off, he was also all for social media in a nuanced way I think a lot of people tend to miss. I think Haig perfectly located the need to log off when the internet or the news or whatever becomes too much—or even just a clutch for boredom—but not when it’s a source of joy or fun. To see someone who sees technology as so dualistic instead of strictly good or bad was refreshing, so it made me a lot more willing to internalize his advice. I underlined SO many lines in this book because Haig is a gorgeous writer, but also he includes a lot of quotations and makes a lot of great points of his own about technology usage, remaining unique, relinquishing stress, and other ideas to reduce stress born from technology. If you’re someone who struggles with internet usage and anxiety, this would definitely be a valuable tool to remind yourself of your worth in a technological environment that tries to remind you that you’re worthless as a marketing ploy. I loved the encouraging tone of it, and in the end, it was a great reminder to make sure I’m taking care of my mental health by not abusing my phone or Internet usage."
8,014313342X,http://goodreads.com/user/show/25398561-andr-oliveira,4,"A book about depression, panic attacks and how to deal with them. Or at least get better at it.Obviously, it's about a lot more subjects but Matt Haig give us some advice on how to cope with the present lifestyle and how to accept yourself and the world we currently live."
9,014313342X,http://goodreads.com/user/show/57073687-nadia,4,"This was my first encounter with the work of Matt Haig and I can see why he's become so popular. In his latest book, Matt shares his observations about today's 'nervous planet' we live on, overloaded with technology and social media connecting people all over the world, yet leaving them feeling alone. Based on his own experience, Matt offers advice on how to cope with stress and anxiety, how to value and appreciate the little things in life, but also how to accept ourselves and the fact that we are not perfect and to fail is absolutely ok.You might not agree with everything Matt Haig says or does, but I think everyone who reads this book will find something in there that will speak to them or at least make them think."
